Date,BANKNIFTY_Open,BANKNIFTY_High,BANKNIFTY_Low,BANKNIFTY_Close,BANKNIFTY_PreClose,NIFTY50_Open,NIFTY50_High,NIFTY50_Low,NIFTY50_Close,NIFTY50_PreClose,AUBANK_Open,AUBANK_High,AUBANK_Low,AUBANK_Close,AUBANK_Volume,AUBANK_PreClose,HDFCBANK_Open,HDFCBANK_High,HDFCBANK_Low,HDFCBANK_Close,HDFCBANK_Volume,HDFCBANK_PreClose,KOTAKBANK_Open,KOTAKBANK_High,KOTAKBANK_Low,KOTAKBANK_Close,KOTAKBANK_Volume,KOTAKBANK_PreClose,INDUSINDBK_Open,INDUSINDBK_High,INDUSINDBK_Low,INDUSINDBK_Close,INDUSINDBK_Volume,INDUSINDBK_PreClose,IDFCFIRSTB_Open,IDFCFIRSTB_High,IDFCFIRSTB_Low,IDFCFIRSTB_Close,IDFCFIRSTB_Volume,IDFCFIRSTB_PreClose,AXISBANK_Open,AXISBANK_High,AXISBANK_Low,AXISBANK_Close,AXISBANK_Volume,AXISBANK_PreClose,ICICIBANK_Open,ICICIBANK_High,ICICIBANK_Low,ICICIBANK_Close,ICICIBANK_Volume,ICICIBANK_PreClose,PNB_Open,PNB_High,PNB_Low,PNB_Close,PNB_Volume,PNB_PreClose,FEDERALBNK_Open,FEDERALBNK_High,FEDERALBNK_Low,FEDERALBNK_Close,FEDERALBNK_Volume,FEDERALBNK_PreClose,BANKBARODA_Open,BANKBARODA_High,BANKBARODA_Low,BANKBARODA_Close,BANKBARODA_Volume,BANKBARODA_PreClose,BANDHANBNK_Open,BANDHANBNK_High,BANDHANBNK_Low,BANDHANBNK_Close,BANDHANBNK_Volume,BANDHANBNK_PreClose,SBIN_Open,SBIN_High,SBIN_Low,SBIN_Close,SBIN_Volume,SBIN_PreClose
2020-12-15,30805.400390625,30805.849609375,30345.75,30691.05078125,30745.900390625,13547.2001953125,13589.650390625,13447.0498046875,13567.849609375,13558.150390625,462.8500061035156,464.125,452.5,461.29998779296875,464160,464.7250061035156,1380.800048828125,1394.949951171875,1366.0,1391.300048828125,10780718,1372.1500244140625,1948.0,1958.0,1919.300048828125,1951.1500244140625,4141898,1939.3499755859375,923.0,931.4000244140625,908.4500122070312,926.75,7646858,921.25,37.70000076293945,37.95000076293945,36.849998474121094,37.75,19420642,37.75,615.75,615.75,602.2999877929688,607.0999755859375,22311290,615.9000244140625,524.0,524.25,513.0999755859375,518.0499877929688,26969145,525.7999877929688,41.25,41.29999923706055,39.70000076293945,40.599998474121094,56929480,41.25,68.6500015258789,68.6500015258789,66.69999694824219,67.4000015258789,28751441,68.4000015258789,67.1500015258789,68.0999984741211,65.5,67.1500015258789,43111626,67.0,414.0,416.95001220703125,409.5,412.1499938964844,7806649,410.29998779296875,274.04998779296875,274.04998779296875,268.1499938964844,270.6499938964844,34890948,274.20001220703125
2020-12-16,30920.349609375,30932.25,30587.099609375,30698.400390625,30691.05078125,13663.099609375,13692.349609375,13606.4501953125,13682.7001953125,13567.849609375,462.45001220703125,463.45001220703125,455.04998779296875,457.8999938964844,512468,461.29998779296875,1404.0,1416.800048828125,1394.5,1410.699951171875,8416046,1391.300048828125,1965.0,1965.0,1936.550048828125,1952.550048828125,2764698,1951.1500244140625,932.0,937.75,915.0,921.7999877929688,6068477,926.75,38.0,38.150001525878906,37.54999923706055,37.75,14987280,37.75,613.5499877929688,614.9000244140625,604.7999877929688,606.0999755859375,14860853,607.0999755859375,520.0499877929688,521.7000122070312,511.1000061035156,512.4500122070312,24263586,518.0499877929688,39.599998474121094,39.599998474121094,37.25,37.95000076293945,214696891,40.599998474121094,68.25,68.5,67.5,67.75,19517091,67.4000015258789,67.69999694824219,67.9000015258789,65.6500015258789,66.4000015258789,33186305,67.1500015258789,415.8999938964844,418.45001220703125,408.8500061035156,410.1499938964844,3743529,412.1499938964844,272.79998779296875,273.6499938964844,268.5,269.3999938964844,24844177,270.6499938964844
2020-12-17,30791.19921875,30945.19921875,30643.900390625,30847.05078125,30698.400390625,13713.5498046875,13773.25,13673.5498046875,13740.7001953125,13682.7001953125,457.8999938964844,475.0,455.0,471.57501220703125,898568,457.8999938964844,1418.5999755859375,1445.0,1404.5,1441.800048828125,10962239,1410.699951171875,1965.0,1969.0,1942.550048828125,1965.449951171875,3460370,1952.550048828125,914.0,948.0,914.0,935.7999877929688,14078222,921.7999877929688,37.75,37.95000076293945,37.25,37.400001525878906,22083576,37.75,607.25,611.0,603.2000122070312,605.4000244140625,14598759,606.0999755859375,514.0,516.5,509.1000061035156,510.3999938964844,23883288,512.4500122070312,38.150001525878906,38.349998474121094,36.75,37.0,66872650,37.95000076293945,67.9000015258789,68.9000015258789,67.0,67.0999984741211,25152667,67.75,66.4000015258789,67.1500015258789,63.349998474121094,63.79999923706055,39697753,66.4000015258789,408.20001220703125,414.20001220703125,405.0,406.3500061035156,5443407,410.1499938964844,270.0,272.1499938964844,266.70001220703125,267.70001220703125,25904699,269.3999938964844
2020-12-18,30841.849609375,30854.05078125,30374.5,30714.650390625,30847.05078125,13764.400390625,13772.849609375,13658.599609375,13760.5498046875,13740.7001953125,461.9750061035156,461.9750061035156,440.25,448.5,11127804,471.57501220703125,1435.0,1439.699951171875,1406.300048828125,1411.3499755859375,11497959,1441.800048828125,1963.800048828125,1963.800048828125,1921.3499755859375,1949.3499755859375,3371676,1965.449951171875,935.7999877929688,937.5,887.5499877929688,905.2000122070312,14605713,935.7999877929688,37.5,37.54999923706055,36.20000076293945,36.95000076293945,22980485,37.400001525878906,604.4000244140625,611.0,596.5,609.5,17301814,605.4000244140625,514.0,518.25,509.1499938964844,517.1500244140625,21735833,510.3999938964844,37.150001525878906,37.150001525878906,35.650001525878906,36.54999923706055,63979156,37.0,67.5,67.6500015258789,65.30000305175781,66.3499984741211,21800372,67.0999984741211,63.95000076293945,64.25,62.0,63.099998474121094,38450486,63.79999923706055,405.79998779296875,414.20001220703125,404.04998779296875,408.20001220703125,9202955,406.3500061035156,267.70001220703125,271.95001220703125,265.0,271.45001220703125,29816205,267.70001220703125
2020-12-21,30595.80078125,30607.5,29201.19921875,29456.44921875,30714.650390625,13741.900390625,13777.5,13131.4501953125,13328.400390625,13760.5498046875,450.0,452.2250061035156,360.2250061035156,420.2250061035156,2300470,448.5,1417.5,1423.8499755859375,1366.699951171875,1372.6500244140625,11880912,1411.3499755859375,1935.0,1959.0,1907.5999755859375,1920.8499755859375,3941511,1949.3499755859375,905.2000122070312,906.0,814.7000122070312,842.7000122070312,18106992,905.2000122070312,36.5,36.70000076293945,33.650001525878906,34.25,38446940,36.95000076293945,605.25,607.25,573.4000244140625,582.5,18580262,609.5,514.5999755859375,514.7000122070312,488.20001220703125,494.5,29157759,517.1500244140625,36.0,36.849998474121094,33.0,34.099998474121094,73372682,36.54999923706055,66.05000305175781,66.05000305175781,59.5,60.400001525878906,53156785,66.3499984741211,62.25,63.5,56.79999923706055,58.79999923706055,50895629,63.099998474121094,404.95001220703125,404.95001220703125,367.5,374.29998779296875,11223698,408.20001220703125,268.45001220703125,269.0,251.0500030517578,254.6999969482422,55160758,271.45001220703125
2020-12-22,29607.5,29711.150390625,28976.75,29625.94921875,29456.44921875,13373.650390625,13492.0498046875,13192.900390625,13466.2998046875,13328.400390625,421.0,440.0,411.125,428.0,1375614,420.2250061035156,1384.800048828125,1384.800048828125,1345.0,1373.0999755859375,11425779,1372.6500244140625,1930.0,1930.25,1886.0999755859375,1902.949951171875,5073744,1920.8499755859375,842.7000122070312,857.5,813.6500244140625,840.7000122070312,21961153,842.7000122070312,34.0,34.75,32.900001525878906,34.599998474121094,42476231,34.25,585.0,593.9500122070312,568.4000244140625,589.75,19896386,582.5,497.29998779296875,501.79998779296875,489.1000061035156,500.29998779296875,32328041,494.5,33.849998474121094,34.75,31.700000762939453,33.400001525878906,118459132,34.099998474121094,60.45000076293945,62.150001525878906,57.650001525878906,61.79999923706055,67432435,60.400001525878906,58.150001525878906,60.0,56.20000076293945,58.79999923706055,52670734,58.79999923706055,378.29998779296875,399.0,374.20001220703125,396.70001220703125,15004322,374.29998779296875,254.8000030517578,258.70001220703125,248.25,257.45001220703125,51189571,254.6999969482422
2020-12-23,29560.75,29941.400390625,29446.0,29883.30078125,29625.94921875,13473.5,13619.4501953125,13432.2001953125,13601.099609375,13466.2998046875,428.0,437.0,422.42498779296875,434.375,2601826,428.0,1367.5,1380.949951171875,1361.050048828125,1375.6500244140625,7733697,1373.0999755859375,1901.0,1924.800048828125,1892.5,1920.75,2340819,1902.949951171875,841.9500122070312,861.9500122070312,832.75,855.3499755859375,12353093,840.7000122070312,34.650001525878906,36.099998474121094,34.400001525878906,35.900001525878906,20477842,34.599998474121094,589.0,594.5,584.2999877929688,592.4500122070312,12247401,589.75,499.0,505.5,496.54998779296875,503.6000061035156,19205951,500.29998779296875,32.099998474121094,32.75,31.700000762939453,31.799999237060547,178237037,33.400001525878906,62.150001525878906,64.75,61.25,64.25,34846873,61.79999923706055,58.79999923706055,60.79999923706055,58.349998474121094,60.54999923706055,32358417,58.79999923706055,395.8999938964844,402.6499938964844,391.54998779296875,399.04998779296875,7220916,396.70001220703125,256.95001220703125,263.8999938964844,255.60000610351562,263.0,29056404,257.45001220703125
2020-12-24,30071.650390625,30545.849609375,30007.80078125,30402.19921875,29883.30078125,13672.150390625,13771.75,13626.900390625,13749.25,13601.099609375,435.0,440.0,426.54998779296875,433.92498779296875,1586958,434.375,1389.4000244140625,1404.0,1377.0,1397.0999755859375,7476094,1375.6500244140625,1918.0,1978.0,1917.0,1960.5999755859375,3337164,1920.75,862.0,870.0,849.0999755859375,852.7999877929688,10293688,855.3499755859375,36.150001525878906,36.5,35.650001525878906,35.900001525878906,18306842,35.900001525878906,595.0,614.0,594.1500244140625,610.2000122070312,15488083,592.4500122070312,506.75,515.9500122070312,505.1000061035156,513.5499877929688,17576807,503.6000061035156,32.20000076293945,32.599998474121094,31.399999618530273,31.450000762939453,111190598,31.799999237060547,64.30000305175781,66.05000305175781,64.30000305175781,65.19999694824219,27730531,64.25,61.04999923706055,63.25,60.599998474121094,60.849998474121094,39083563,60.54999923706055,407.0,409.0,394.95001220703125,398.1499938964844,5255643,399.04998779296875,265.0,268.8500061035156,264.6499938964844,266.8500061035156,28585509,263.0
2020-12-28,30558.849609375,30929.05078125,30538.150390625,30880.94921875,30402.19921875,13815.150390625,13885.2998046875,13811.5498046875,13873.2001953125,13749.25,438.4750061035156,438.4750061035156,425.5,428.125,981228,433.92498779296875,1405.0,1421.0,1404.0,1412.8499755859375,5849597,1397.0999755859375,1963.0,1996.0999755859375,1962.0999755859375,1988.9000244140625,2743069,1960.5999755859375,855.0,871.0,853.0,866.9500122070312,5449095,852.7999877929688,36.25,37.20000076293945,36.0,36.95000076293945,22885983,35.900001525878906,614.0,620.7999877929688,614.0,617.6500244140625,8444506,610.2000122070312,515.9000244140625,521.2000122070312,513.5999755859375,520.0999755859375,14470472,513.5499877929688,31.850000381469727,32.900001525878906,31.5,32.400001525878906,145990073,31.450000762939453,65.8499984741211,67.6500015258789,65.8499984741211,67.4000015258789,28813310,65.19999694824219,61.5,62.95000076293945,61.25,62.400001525878906,27299489,60.849998474121094,402.0,407.5,398.6499938964844,406.1499938964844,4677485,398.1499938964844,268.75,276.0,268.0,275.20001220703125,36870242,266.8500061035156
2020-12-29,31006.900390625,31359.349609375,31002.599609375,31322.5,30880.94921875,13910.349609375,13967.599609375,13859.900390625,13932.599609375,13873.2001953125,435.04998779296875,437.875,422.04998779296875,424.2250061035156,2171508,428.125,1421.050048828125,1434.75,1420.0,1427.199951171875,7247673,1412.8499755859375,1983.0,2017.0,1983.0,1999.300048828125,3152865,1988.9000244140625,875.0,917.6500244140625,873.5,912.9000244140625,20727636,866.9500122070312,37.20000076293945,37.54999923706055,36.25,36.70000076293945,18963239,36.95000076293945,620.7000122070312,632.4000244140625,618.5999755859375,630.2000122070312,13765454,617.6500244140625,522.5499877929688,530.7999877929688,517.8499755859375,528.7999877929688,19092649,520.0999755859375,32.900001525878906,34.150001525878906,32.79999923706055,33.20000076293945,160162623,32.400001525878906,67.69999694824219,68.25,66.3499984741211,67.4000015258789,29998634,67.4000015258789,63.0,64.19999694824219,62.099998474121094,62.349998474121094,41508873,62.400001525878906,408.0,419.25,407.45001220703125,413.20001220703125,8237480,406.1499938964844,276.29998779296875,279.8999938964844,274.70001220703125,277.8999938964844,45032526,275.20001220703125
2020-12-30,31479.80078125,31510.25,31007.150390625,31303.05078125,31322.5,13980.900390625,13997.0,13864.9501953125,13981.9501953125,13932.599609375,427.5,430.0,420.82501220703125,426.2250061035156,1182792,424.2250061035156,1439.9000244140625,1439.9000244140625,1413.0,1432.5,8108363,1427.199951171875,2003.199951171875,2027.0,1999.0,2017.949951171875,2657431,1999.300048828125,919.0499877929688,922.7000122070312,888.0,899.0499877929688,11462263,912.9000244140625,36.849998474121094,36.95000076293945,35.900001525878906,36.650001525878906,19633682,36.70000076293945,632.25,634.0,618.2000122070312,625.0999755859375,10262221,630.2000122070312,531.6500244140625,533.0,524.5499877929688,528.75,21365141,528.7999877929688,33.70000076293945,33.70000076293945,32.349998474121094,32.75,92597922,33.20000076293945,67.6500015258789,68.0,66.30000305175781,67.25,19496396,67.4000015258789,63.0,63.25,60.75,62.099998474121094,33108560,62.349998474121094,416.5,416.5,402.5,406.1000061035156,6415631,413.20001220703125,278.0,278.70001220703125,272.5,276.8999938964844,30971894,277.8999938964844
2020-12-31,31295.900390625,31409.5,31088.099609375,31264.05078125,31303.05078125,13970.0,14024.849609375,13936.4501953125,13981.75,13981.9501953125,428.0,428.0,420.25,426.29998779296875,1303682,426.2250061035156,1435.0,1444.0,1425.050048828125,1436.300048828125,11072875,1432.5,2016.699951171875,2018.75,1987.0,1995.5999755859375,2794829,2017.949951171875,904.0,906.9000244140625,890.0499877929688,894.9500122070312,6435333,899.0499877929688,36.5,37.5,36.25,37.04999923706055,25499169,36.650001525878906,622.4000244140625,625.9500122070312,616.0,620.4500122070312,12306502,625.0999755859375,530.0999755859375,538.5,526.5,535.0499877929688,27817770,528.75,32.79999923706055,33.349998474121094,32.400001525878906,33.04999923706055,189388220,32.75,67.19999694824219,67.19999694824219,66.25,66.69999694824219,17910330,67.25,62.099998474121094,62.54999923706055,61.150001525878906,61.45000076293945,22488846,62.099998474121094,408.0,408.1000061035156,395.70001220703125,402.25,11457749,406.1000061035156,275.0,277.25,272.6000061035156,274.95001220703125,29467966,276.8999938964844
